Age,Gender,Activity_Level,Body_Type,Goal,Training_Split,Diet_Advice
60,Male,Very Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
29,Male,Very Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
44,Male,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
57,Male,Lightly Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
30,Male,Lightly Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
33,Female,Very Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
45,Male,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
21,Female,Sedentary,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
23,Female,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
56,Male,Moderately Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
50,Female,Lightly Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
28,Female,Lightly Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
45,Male,Moderately Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
51,Male,Lightly Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
38,Male,Lightly Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
30,Female,Sedentary,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
21,Female,Moderately Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
47,Male,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
49,Female,Sedentary,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
49,Female,Very Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
33,Female,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
57,Female,Lightly Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
40,Female,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
29,Female,Sedentary,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
21,Female,Lightly Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
21,Male,Lightly Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
58,Male,Very Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
21,Female,Very Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
24,Female,Lightly Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
18,Female,Lightly Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
50,Male,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
51,Male,Sedentary,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
26,Male,Moderately Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
21,Male,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
23,Male,Very Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
27,Male,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
56,Female,Very Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
56,Male,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
26,Female,Sedentary,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
27,Male,Lightly Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
36,Female,Very Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
44,Male,Lightly Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
32,Male,Sedentary,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
50,Male,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
57,Female,Moderately Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
45,Female,Lightly Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
31,Female,Sedentary,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
46,Female,Moderately Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
19,Male,Sedentary,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
46,Male,Sedentary,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
22,Female,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
46,Male,Sedentary,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
58,Female,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
39,Male,Sedentary,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
58,Female,Moderately Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
32,Female,Sedentary,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
44,Male,Sedentary,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
27,Male,Moderately Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
49,Male,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
18,Male,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
37,Female,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
51,Male,Sedentary,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
24,Male,Moderately Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
49,Female,Moderately Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
38,Female,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
23,Female,Sedentary,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
58,Female,Sedentary,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
18,Female,Very Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
33,Male,Moderately Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
37,Male,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
35,Male,Moderately Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
31,Male,Sedentary,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
39,Male,Lightly Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
42,Female,Sedentary,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
49,Female,Moderately Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
20,Female,Lightly Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
35,Female,Moderately Active,Ectomorph,Bulking,"Focus on strength training with heavy weights, 4-5 days/week","Eat high-calorie, protein-rich foods; consume 5-6 meals/day."
50,Male,Sedentary,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
30,Male,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
50,Male,Moderately Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
40,Female,Moderately Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
26,Female,Very Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
29,Male,Lightly Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
23,Male,Moderately Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
19,Female,Moderately Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
21,Male,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
50,Male,Very Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
45,Female,Very Active,Mesomorph,Maintenance,"Balanced training routine, 3-4 days/week",Maintain caloric balance; focus on whole foods.
24,Male,Moderately Active,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
49,Male,Sedentary,Endomorph,Cutting,"High-intensity training, 5-6 days/week with cardio.",Reduce caloric intake; eat more fiber and protein.
